onset	duration	trial_type	response_time	word	gender	age	sub	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
7.3024208372225985	0.6817645786795765	image_neg	0.6823160375934094	nose	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.89	concrete	image_neg
17.298721346771345	0.6859346858691424	image_pos	0.5196391873760149	knowledge	female	25	58	EPIsequencewords	2	2019	10	21	13	43	1.73	abstract	image_pos
27.301260175067	0.6838632663711905	image_pos	0.5342629537917674	vacation	female	25	58	EPIsequencewords	2	2019	10	21	13	43	3.14	abstract	image_pos
37.30014955799561	0.6854316680692065	image_pos	0.6859632373088971	monkey	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.9	concrete	image_pos
47.30113891174551	0.6848786053014919	image_neg	0.6189499119063839	apartment	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.9	concrete	image_neg
57.30084345303476	0.6856956883566525	image_pos	0.552641709567979	day	female	25	58	EPIsequencewords	2	2019	10	21	13	43	3.92	abstract	image_pos
67.30130252090748	0.6856587961083278	image_pos	0.5193235180340707	sailboat	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.89	concrete	image_pos
74.70135724975262	0.6859452724456787	image_neg	0.6865467764437199	clang	female	25	58	EPIsequencewords	2	2019	10	21	13	43	3.96	abstract	image_neg
84.70182979130186	0.6859019641997293	image_neg	0.7863030951702967	jaw	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.87	concrete	image_neg
94.70276492962148	0.6854364802129567	image_neg	0.6691268983995542	theory	female	25	58	EPIsequencewords	2	2019	10	21	13	43	1.47	abstract	image_neg
104.70253844326362	0.6861220344435424	image_neg	0.5197758491849527	perjury	female	25	58	EPIsequencewords	2	2019	10	21	13	43	2.22	abstract	image_neg
114.70327468425968	0.685827217181199	image_neg	0.6529026500647888	toaster	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.9	concrete	image_neg
124.7037793060299	0.6858233676757806	image_neg	0.6195331302005798	attribute	female	25	58	EPIsequencewords	2	2019	10	21	13	43	2.33	abstract	image_neg
137.3044239259325	0.6857187860878184	image_pos	0.6360849175835028	artist	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.24	abstract	image_pos
147.30425775039475	0.6863462751498446	image_neg	0.6200861930847168	lab	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.69	concrete	image_neg
157.30535810184665	0.685696009080857	image_pos	0.6862484304001555	winter	female	25	58	EPIsequencewords	2	2019	10	21	13	43	3.84	abstract	image_pos
164.70574036962353	0.6856604001950473	image_neg	0.5526821305975318	problem	female	25	58	EPIsequencewords	2	2019	10	21	13	43	2.68	abstract	image_neg
174.70600438979454	0.6858522398397326	image_neg	0.5528774991398677	sick	female	25	58	EPIsequencewords	2	2019	10	21	13	43	2.97	abstract	image_neg
184.7065824753372	0.6857547159306705	image_pos	0.8195818279637024	tree	female	25	58	EPIsequencewords	2	2019	10	21	13	43	5	concrete	image_pos
194.70710666605737	0.6857094828738184	image_pos	0.4860675622476265	restaurant	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.89	concrete	image_pos
204.707564450684	0.6856350568123162	image_pos	0.5360421226359904	summer	female	25	58	EPIsequencewords	2	2019	10	21	13	43	3.64	abstract	image_pos
214.70757279160895	0.6861300544115352	image_neg	0.5532255694270134	landslide	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.36	concrete	image_neg
227.3093713368289	0.6849607306067185	image_neg	0.7353670906741172	verb	female	25	58	EPIsequencewords	2	2019	10	21	13	43	2.85	abstract	image_neg
234.70944114332087	0.6851435878779739	image_neg	0.7023565485142171	street	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.75	concrete	image_neg
244.7092050330248	0.6858262547756908	image_neg	0.7531096956226975	asparagus	female	25	58	EPIsequencewords	2	2019	10	21	13	43	4.96	concrete	image_neg
