onset	duration	trial_type	response_time	word	gender	age	sub	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
7.283849400002509	0.6863568001426756	image_neg	0.7048262001480907	quantity	female	23	90	EPIsequencewords	6	2022	10	7	11	24	2.97	abstract	image_neg
14.683074800064787	0.6874629000667483	image_neg	0.4885984999127686	judge	female	23	90	EPIsequencewords	6	2022	10	7	11	24	3.75	abstract	image_neg
27.28334409999661	0.6881266999989712	image_neg	0.6560593000613153	mayor	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.37	abstract	image_neg
37.28220310015604	0.6893896998371929	image_pos	0.4907873999327421	chocolate	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.72	concrete	image_pos
47.2831180000212	0.6887928999494832	image_pos	0.5070096999406815	dolphin	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.96	concrete	image_pos
57.28344910009764	0.6892283998895508	image_pos	0.4569287998601794	advice	female	23	90	EPIsequencewords	6	2022	10	7	11	24	2.73	abstract	image_pos
67.28367349994369	0.6893167002126575	image_neg	0.4418648001737892	lost	female	23	90	EPIsequencewords	6	2022	10	7	11	24	2.67	abstract	image_neg
77.28439419995993	0.6895783999934793	image_pos	0.6908423001877964	dinner	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.5	abstract	image_pos
84.68563099997118	0.6883217000868171	image_pos	0.5228742000181228	cheese	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.7	concrete	image_pos
94.68460109992884	0.6898246000055224	image_neg	0.3909905001055449	guilt	female	23	90	EPIsequencewords	6	2022	10	7	11	24	1.93	abstract	image_neg
107.28597910003737	0.6891467999666929	image_pos	0.5735861000139266	elm	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.69	concrete	image_pos
117.28687179996632	0.6889273000415415	image_neg	0.4568706001155078	politician	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.33	abstract	image_neg
124.68671909999102	0.6891214000061154	image_neg	0.6738271999638528	old	female	23	90	EPIsequencewords	6	2022	10	7	11	24	2.72	abstract	image_neg
137.28752909996547	0.688653000164777	image_pos	0.9070823001675308	chair	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.58	concrete	image_pos
147.28768589999527	0.6890301001258194	image_pos	0.6404564001131803	camera	female	23	90	EPIsequencewords	6	2022	10	7	11	24	5	concrete	image_pos
154.68819979997352	0.6889673001132905	image_neg	n/a	bugle	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.84	concrete	image_neg
164.68830300006084	0.689580800011754	image_neg	0.6909354000817984	rake	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.84	concrete	image_neg
174.68891960009933	0.6892126000020653	image_neg	0.4737798999994993	rumor	female	23	90	EPIsequencewords	6	2022	10	7	11	24	2.15	abstract	image_neg
187.2899801000021	0.6888767001219378	image_pos	0.556685599964112	scooter	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.96	concrete	image_pos
194.6899278999772	0.689419900067179	image_pos	0.6071020001545548	river	female	23	90	EPIsequencewords	6	2022	10	7	11	24	4.89	concrete	image_pos
207.2895382000133	0.6901305001229332	image_neg	0.6746680999640375	role	female	23	90	EPIsequencewords	6	2022	10	7	11	24	2.19	abstract	image_neg
