onset	duration	trial_type	response_time	word	gender	age	sub	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
7.297863100189716	0.6848225998692214	image_neg	0.8524854998104274	mosquito	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.88	concrete	image_neg
17.297676200047135	0.6851955000311136	image_neg	0.6867055001202971	bus	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.9	concrete	image_neg
27.294917300110683	0.6881101999897545	image_pos	0.6572209999430925	drum	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.96	concrete	image_pos
37.29481940018013	0.6889097997918654	image_pos	0.6247962999623269	television	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.83	concrete	image_pos
47.29523749998771	0.6889254001434963	image_neg	0.7067801000084728	whine	male	29	96	EPIsequencewords	5	2022	10	7	14	2	3.4	abstract	image_neg
57.295484400121495	0.6892772000283074	image_pos	0.6573067998979241	wit	male	29	96	EPIsequencewords	5	2022	10	7	14	2	1.93	abstract	image_pos
64.69586330000311	0.6896031000651419	image_pos	0.6241490000393242	book	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.9	concrete	image_pos
77.29606120008975	0.6894193000625819	image_neg	0.6601962998975068	dread	male	29	96	EPIsequencewords	5	2022	10	7	14	2	1.86	abstract	image_neg
87.29701189999469	0.6894255001097918	image_neg	0.6907674001995474	dictation	male	29	96	EPIsequencewords	5	2022	10	7	14	2	2.75	abstract	image_neg
97.29680920019746	0.6918476999271661	image_neg	0.6243569999933243	arm	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.96	concrete	image_neg
104.69662930001503	0.6901947001461082	image_pos	0.6414598000701517	mandolin	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.76	concrete	image_pos
114.69677450018936	0.6905139998998351	image_neg	0.7251774999313056	curse	male	29	96	EPIsequencewords	5	2022	10	7	14	2	2.39	abstract	image_neg
124.6978778000921	0.6900239000097059	image_neg	0.7082748000975698	army	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.7	concrete	image_neg
137.29920090013184	0.6890652000438422	image_neg	0.5747869999613613	banker	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.43	abstract	image_neg
144.69911360018887	0.6893382999114692	image_pos	0.60731659992598	tea	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.69	concrete	image_pos
157.298982599983	0.690667700022459	image_neg	0.6253172000870109	rum	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.93	concrete	image_neg
167.29985770001076	0.6897124999668449	image_pos	0.8774006001185626	umbrella	male	29	96	EPIsequencewords	5	2022	10	7	14	2	5	concrete	image_pos
177.30062620015815	0.689562699990347	image_pos	0.8244203999638557	mushroom	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.83	concrete	image_pos
184.70042980019932	0.6904251999222026	image_neg	0.7414655999746174	dead	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.07	abstract	image_neg
197.3011151000392	0.6903111999854161	image_neg	0.808127700118348	grief	male	29	96	EPIsequencewords	5	2022	10	7	14	2	2.7	abstract	image_neg
207.30128720006903	0.6905610000249283	image_pos	0.5749057999346405	morning	male	29	96	EPIsequencewords	5	2022	10	7	14	2	3.44	abstract	image_pos
217.3045094001573	0.6879080999642326	image_pos	0.5726222998928279	awe	male	29	96	EPIsequencewords	5	2022	10	7	14	2	1.89	abstract	image_pos
224.70407420000996	0.6887211001012474	image_neg	0.8232661001384258	screech	male	29	96	EPIsequencewords	5	2022	10	7	14	2	3.77	abstract	image_neg
234.7043173001148	0.6885281999129518	image_neg	0.7234020000323653	cab	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.88	concrete	image_neg
244.70436300011352	0.6889062998816371	image_pos	0.6237512999214232	penguin	male	29	96	EPIsequencewords	5	2022	10	7	14	2	5	concrete	image_pos
254.7038234001957	0.6898212998639792	image_neg	0.7250966997817159	corn	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.96	concrete	image_neg
267.30442739999853	0.6903385000769049	image_pos	0.7581996000371873	dime	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.85	concrete	image_pos
274.70619940012693	0.6885595999192446	image_neg	0.6731119998730719	stapler	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.62	abstract	image_neg
284.7052553000394	0.6898934000637951	image_pos	0.9082800000905992	peaceful	male	29	96	EPIsequencewords	5	2022	10	7	14	2	2.27	abstract	image_pos
294.70599910011515	0.689423399977386	image_neg	0.8264053999446332	vice	male	29	96	EPIsequencewords	5	2022	10	7	14	2	2.46	abstract	image_neg
304.7073917000089	0.6886345001403242	image_pos	0.5906611999962479	applause	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.29	abstract	image_pos
314.70680040004663	0.6902072001248598	image_pos	0.7090549999848008	tangerine	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.81	concrete	image_pos
324.70699129998684	0.7068212002050132	image_neg	0.708050100132823	carrot	male	29	96	EPIsequencewords	5	2022	10	7	14	2	5	concrete	image_neg
337.32412600005046	0.6907144000288099	image_neg	0.4249531000386923	riot	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.45	abstract	image_neg
347.3252459000796	0.6896470999345183	image_neg	0.7584881999064237	newspaper	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.82	concrete	image_neg
357.3272365999874	0.690047100186348	image_pos	0.8394439001567662	intellect	male	29	96	EPIsequencewords	5	2022	10	7	14	2	2.36	abstract	image_pos
367.3257142000366	0.6900279000402065	image_pos	0.7249123000074178	cherry	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.62	abstract	image_pos
374.7263237000443	0.690209100022912	image_pos	0.6580875001382083	editor	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.25	abstract	image_pos
384.72643380006775	0.6903588999994668	image_pos	0.5426223000977188	water	male	29	96	EPIsequencewords	5	2022	10	7	14	2	5	concrete	image_pos
394.7268525999971	0.6902253001462668	image_pos	0.607795000076294	tulip	male	29	96	EPIsequencewords	5	2022	10	7	14	2	5	concrete	image_pos
407.32789340009913	0.6900062998756766	image_neg	0.4245237000286579	mob	male	29	96	EPIsequencewords	5	2022	10	7	14	2	3.88	abstract	image_neg
417.3279918001499	0.6904813000001013	image_neg	0.8415725999511778	engineer	male	29	96	EPIsequencewords	5	2022	10	7	14	2	4.64	concrete	image_neg
427.3300265001599	0.688605000032112	image_pos	0.3565203000325709	friendly	male	29	96	EPIsequencewords	5	2022	10	7	14	2	2.32	abstract	image_pos
