onset	duration	trial_type	response_time	word	gender	age	sub	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
7.2879563	0.6859733000999997	image_pos	0.6241972002	fence	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.82	concrete	image_pos
14.6888852001	0.6852577999000005	image_pos	0.5532698	fiddle	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.81	concrete	image_pos
27.2902099001	0.6849416999999995	image_pos	0.5027592999	plum	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.85	concrete	image_pos
34.6865274	0.6888182999999941	image_neg	0.4731374001	jury	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.64	abstract	image_neg
47.2883906001	0.6874850999999964	image_pos	0.6232796998	hamster	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.86	concrete	image_pos
57.2870317001	0.6897028998999986	image_neg	0.4576663999	deceit	male	24	92	EPIsequencewords	3	2022	10	4	13	21	2.37	abstract	image_neg
64.6873209001	0.689137999899998	image_pos	0.5739431998	famous	male	24	92	EPIsequencewords	3	2022	10	4	13	21	2.07	abstract	image_pos
74.6895863002	0.6873994997999944	image_pos	0.4069728998	woman	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.46	abstract	image_pos
84.6885314002	0.6893179997999965	image_neg	0.5752112998	tornado	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.53	abstract	image_neg
97.2896333002	0.6885376998000083	image_pos	0.4408702999	pineapple	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.94	concrete	image_pos
107.2899810001	0.6891146999000028	image_neg	0.3898493999	gasp	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.15	abstract	image_neg
114.689943	0.6893883000000045	image_pos	0.5745363	zoo	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.81	concrete	image_pos
127.2916595	0.6885083001000112	image_pos	0.5072482	beach	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.79	concrete	image_pos
137.2923091	0.6878605999999934	image_neg	0.4728289	aggressive	male	24	92	EPIsequencewords	3	2022	10	4	13	21	2.54	abstract	image_neg
147.2944998001	0.685881499900006	image_pos	0.4876828999	truck	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.84	concrete	image_pos
154.6919148001	0.68941030000002	image_neg	0.5937033999	alligator	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.96	concrete	image_neg
164.6932739001	0.6886523000000011	image_neg	0.7072195001	treaty	male	24	92	EPIsequencewords	3	2022	10	4	13	21	3.07	abstract	image_neg
174.6930775	0.6890300000000025	image_pos	0.4734695	boat	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.93	concrete	image_pos
187.2933777	0.6890218000000061	image_pos	0.6249337001	sled	male	24	92	EPIsequencewords	3	2022	10	4	13	21	5	concrete	image_pos
197.2938448	0.6887672001000169	image_pos	0.5245629002	moral	male	24	92	EPIsequencewords	3	2022	10	4	13	21	1.69	abstract	image_pos
207.2959256	0.687749800000006	image_pos	0.5718667	noun	male	24	92	EPIsequencewords	3	2022	10	4	13	21	3.15	abstract	image_pos
217.296267	0.6877812001000052	image_pos	0.4894496	whale	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.96	concrete	image_pos
227.2955214002	0.6888397999000233	image_neg	0.6065021998	embassy	male	24	92	EPIsequencewords	3	2022	10	4	13	21	3.96	abstract	image_neg
234.6967353001	0.6878102001000173	image_neg	0.4564669	lonely	male	24	92	EPIsequencewords	3	2022	10	4	13	21	2.19	abstract	image_neg
244.6955315	0.6894137001000047	image_pos	0.4754614001	fun	male	24	92	EPIsequencewords	3	2022	10	4	13	21	1.97	abstract	image_pos
257.3143616	0.6882954000000154	image_pos	0.6224225	spatula	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.96	concrete	image_pos
264.7146007	0.6884863001000099	image_pos	0.7238051002	tomato	male	24	92	EPIsequencewords	3	2022	10	4	13	21	5	concrete	image_pos
274.7169139001	0.686115399900018	image_neg	0.6039700001	hospital	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.64	abstract	image_neg
284.7157652001	0.6876238999000179	image_pos	0.6726124	new	male	24	92	EPIsequencewords	3	2022	10	4	13	21	2.81	abstract	image_pos
297.3150343001	0.6898378999999863	image_pos	0.6403540999	limousine	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.63	abstract	image_pos
304.7186596	0.6862703000999772	image_pos	0.4883406002	kiss	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.48	abstract	image_pos
317.3167886999	0.6888523002000397	image_pos	0.5895975002	tourist	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.59	abstract	image_pos
327.3175935	0.6886331000999917	image_neg	0.4561916001	hurricane	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.59	abstract	image_neg
334.7177394	0.6881286999999929	image_pos	0.6072877001	garden	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.73	concrete	image_pos
344.7170276002	0.6899718997999571	image_neg	0.5740649998	keyboard	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.93	concrete	image_neg
357.3176591001	0.6899101000000201	image_neg	0.5745866001	beer	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.88	concrete	image_neg
367.3197194	0.6877051999999821	image_neg	0.6394935001	rocket	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.73	concrete	image_neg
377.3183518001	0.6900082000000225	image_neg	0.4072874	bribe	male	24	92	EPIsequencewords	3	2022	10	4	13	21	3.44	abstract	image_neg
384.7185605001	0.6896491999999625	image_neg	0.5581215001	commander	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.31	abstract	image_neg
394.7193492001	0.6898967000000198	image_neg	0.5409319	diplomat	male	24	92	EPIsequencewords	3	2022	10	4	13	21	3.67	abstract	image_neg
407.3223372002	0.687542799799985	image_pos	0.6212706	bridge	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.97	concrete	image_pos
414.7205649	0.6896753999999987	image_pos	0.5902721002	school	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.79	concrete	image_pos
424.7225458	0.6875493999000355	image_neg	0.4900134001	corkscrew	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.85	concrete	image_neg
434.72153870020003	0.6891573997999672	image_pos	0.4739860999	wealthy	male	24	92	EPIsequencewords	3	2022	10	4	13	21	2.73	abstract	image_pos
447.3234473001	0.6881573000000003	image_neg	0.5390224999	avalanche	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.32	abstract	image_neg
454.7220741001	0.6895576999000355	image_neg	0.4403563	plot	male	24	92	EPIsequencewords	3	2022	10	4	13	21	3.14	abstract	image_neg
467.3226996001	0.6893547001000115	image_neg	0.5405521998	field	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.26	abstract	image_neg
474.7236007	0.6886333999999579	image_pos	0.8739674001	oak	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.82	concrete	image_pos
484.7242952001	0.6886177000000089	image_pos	0.4566243999	lake	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.88	concrete	image_pos
494.7252347001	0.688154799900019	image_neg	0.4395625	sandpaper	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.85	concrete	image_neg
504.7242093	0.6897917000999882	image_neg	0.5245788	policeman	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.93	concrete	image_neg
517.3254112001	0.689634399900001	image_neg	0.5241149999	man	male	24	92	EPIsequencewords	3	2022	10	4	13	21	4.79	concrete	image_neg
