onset	duration	trial_type	response_time	word	gender	age	sub	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
4.683469700161368	0.6867849000263959	image_pos	0.4881138999480754	choir	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.34	concrete	image_pos
17.28399440017529	0.6866437999997288	image_neg	0.4713536999188363	accident	female	23	91	EPIsequencewords	4	2022	10	4	11	15	3.26	abstract	image_neg
27.2828029000666	0.6882027999963611	image_neg	0.4398207000922411	scream	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.32	abstract	image_neg
34.68316330015659	0.6885112000163645	image_neg	0.4397036000154912	insult	female	23	91	EPIsequencewords	4	2022	10	4	11	15	2.79	abstract	image_neg
47.28350400016643	0.688494399888441	image_neg	0.539824599865824	scientist	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.24	abstract	image_neg
54.68386560003273	0.6882659001275897	image_neg	0.4898206000216305	saw	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.46	concrete	image_neg
67.28417240013368	0.6889555000234395	image_pos	0.5067950000520796	peace	female	23	91	EPIsequencewords	4	2022	10	4	11	15	1.62	abstract	image_pos
77.28451710008085	0.6890585999935865	image_pos	0.5735871999058872	wonder	female	23	91	EPIsequencewords	4	2022	10	4	11	15	1.8	abstract	image_pos
84.68500700010918	0.6889094999060035	image_pos	0.4234400000423193	flower	female	23	91	EPIsequencewords	4	2022	10	4	11	15	5	concrete	image_pos
97.28554760012776	0.6888830000534654	image_pos	0.4569482998922467	bonfire	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.83	concrete	image_pos
104.68554900004528	0.689263500040397	image_neg	0.4904827999416739	court	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.31	abstract	image_neg
114.68702160008252	0.6882726000622057	image_neg	0.506207900121808	empty	female	23	91	EPIsequencewords	4	2022	10	4	11	15	3.43	abstract	image_neg
127.2868978001643	0.6889684000052654	image_pos	0.4733712000306695	parent	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.56	concrete	image_pos
137.28770950017497	0.688552999868989	image_pos	0.4235163999255746	truce	female	23	91	EPIsequencewords	4	2022	10	4	11	15	2.47	abstract	image_pos
144.68828420015052	0.688354599988088	image_pos	0.4562984998337924	trust	female	23	91	EPIsequencewords	4	2022	10	4	11	15	2.04	abstract	image_pos
154.68863620003685	0.6885574001353234	image_pos	0.5398812999483198	worker	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.59	concrete	image_pos
164.68869019998235	0.689032200025423	image_neg	0.5735711001325399	boy	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.76	concrete	image_neg
177.2891808000859	0.6889802999794483	image_neg	0.4069079000037163	battle	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4	abstract	image_neg
184.68950500013307	0.6888597998768091	image_neg	0.5737548999022692	explosion	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.52	concrete	image_neg
194.6905116001144	0.6886342999059991	image_pos	0.4898045998997986	baseball	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.86	concrete	image_pos
207.29064770019613	0.6890380999539047	image_pos	0.3735520998016	heroism	female	23	91	EPIsequencewords	4	2022	10	4	11	15	2.67	abstract	image_pos
214.69122810009867	0.68866429990157485	image_neg	0.6734581999480724	shoulder	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.93	concrete	image_neg
224.69171819998883	0.6887393000070006	image_neg	0.5900835001375526	animosity	female	23	91	EPIsequencewords	4	2022	10	4	11	15	2.11	abstract	image_neg
237.2920048001688	0.6890057998244004	image_neg	0.4402546000201255	expensive	female	23	91	EPIsequencewords	4	2022	10	4	11	15	3.13	abstract	image_neg
244.6929172000382	0.6885691999923154	image_pos	0.5065347000490874	bicycle	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.89	concrete	image_pos
257.2931108002085	0.6891992997843772	image_neg	0.6570209998171777	stampede	female	23	91	EPIsequencewords	4	2022	10	4	11	15	3.89	abstract	image_neg
267.29350680019706	0.6891312999650268	image_pos	0.5403361998032779	lust	female	23	91	EPIsequencewords	4	2022	10	4	11	15	2.15	abstract	image_pos
277.29750780016184	0.6851260999683291	image_pos	0.4703037999570369	gratitude	female	23	91	EPIsequencewords	4	2022	10	4	11	15	2.56	abstract	image_pos
284.69425890012644	0.6888250999618322	image_neg	0.6401748999487609	majority	female	23	91	EPIsequencewords	4	2022	10	4	11	15	2.54	abstract	image_neg
294.694298400078	0.6894503999500898	image_pos	0.7574140999931842	hall	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.67	concrete	image_pos
304.69601250020787	0.6879350999370217	image_pos	0.5063551999628544	circus	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.43	concrete	image_pos
314.6952125001699	0.6892760000191629	image_pos	0.5072659999132156	banjo	female	23	91	EPIsequencewords	4	2022	10	4	11	15	4.9	concrete	image_pos
