onset	duration	trial_type	response_time	word	gender	age	sub	ses	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
357.3096663001925	0.675259499810636	image_neg	0.5590677000582218	escalator	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	5	concrete	image_neg
364.6986880004406	0.6862696995958686	image_neg	0.8035132996737957	rake	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.84	concrete	image_neg
377.3087317999453	0.6763243004679111	image_pos	0.59338069986552	era	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.24	abstract	image_pos
384.6991277001798	0.6860122997313738	image_pos	0.6864422997459769	soccer	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.76	concrete	image_pos
397.3086874000728	0.676563300192413	image_pos	0.4935021996498108	pumpkin	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.9	concrete	image_pos
407.3013821998611	0.6839685002341866	image_pos	0.5844021998345852	read	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.56	abstract	image_pos
417.3097029002384	0.6756462994962362	image_neg	0.6594295995309949	scooter	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.96	concrete	image_neg
427.2994189998135	0.6860488001257181	image_neg	0.4529950004070997	politician	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.33	abstract	image_neg
434.71094399970025	0.6744090002030134	image_neg	0.5416085002943873	folly	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.92	abstract	image_neg
447.3100517997518	0.6755467001348734	image_pos	0.4259681003168225	advice	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.73	abstract	image_pos
454.7083836998791	0.6772613003849983	image_pos	0.9609187999740244	accordion	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.86	concrete	image_pos
464.7102704001591	0.6753270998596577	image_neg	0.5926208002492785	mayor	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.37	abstract	image_neg
477.3116945000365	0.6741393003613325	image_pos	0.4912203997373581	dinner	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.5	abstract	image_pos
484.710380599834	0.6754256999120685	image_neg	0.5092181004583836	quantity	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.97	abstract	image_neg
497.311241700314	0.6747695999220014	image_pos	0.4585168994963169	chocolate	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.72	concrete	image_pos
504.70925409998745	0.6767864003777504	image_neg	0.3937873998656869	fee	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.89	abstract	image_neg
517.3103002998978	0.6758244000375271	image_neg	0.4595141001045704	sin	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.85	abstract	image_neg
524.7102691000327	0.6757335001602769	image_pos	0.4930387996137142	finger	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	5	concrete	image_pos
534.701634099707	0.6846416005864739	image_pos	0.4016362000256777	girl	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.85	concrete	image_pos
544.7102191001177	0.6759956004098058	image_neg	0.4764721998944878	lost	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.67	abstract	image_neg
