onset	duration	trial_type	response_time	word	gender	age	sub	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
4.697485700002289	0.6734256000054311	image_neg	0.6077193000091938	volcano	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.75	concrete	image_neg
14.68751250000787	0.6837116999959107	image_neg	0.6852864999964368	glass	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.82	concrete	image_neg
27.29529840000032	0.6764948000054574	image_pos	0.6778640999982599	flute	female	20	80	EPIsequencewords	3	2022	4	19	13	28	5	concrete	image_pos
34.695342400009395	0.6770679999899585	image_neg	0.7285921000002418	tuba	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.86	concrete	image_neg
47.29356610000832	0.679078400004073	image_pos	0.5974758999946062	car	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.89	concrete	image_pos
57.29565040000307	0.6775781000033021	image_neg	0.5955016000079922	criminal	female	20	80	EPIsequencewords	3	2022	4	19	13	28	3.48	abstract	image_neg
64.68583420000505	0.6877092000067933	image_neg	0.7393237000069348	malice	female	20	80	EPIsequencewords	3	2022	4	19	13	28	1.72	abstract	image_neg
74.69635030000063	0.6775619000109145	image_neg	0.9292626000096788	cold	female	20	80	EPIsequencewords	3	2022	4	19	13	28	3.85	abstract	image_neg
84.69644920001156	0.6783509999950184	image_pos	0.5129559999913909	family	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.23	abstract	image_pos
97.2991117000056	0.6759597000054782	image_neg	0.6941891000024043	radish	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.87	concrete	image_neg
107.2979866000096	0.6774026999919727	image_pos	0.6455767000006745	patent	female	20	80	EPIsequencewords	3	2022	4	19	13	28	3.32	abstract	image_pos
117.29821839999931	0.677746500005	image_pos	0.8793615000031423	goldfish	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.79	concrete	image_pos
127.2957916000014	0.6807060999999663	image_neg	0.4152688000031048	grievance	female	20	80	EPIsequencewords	3	2022	4	19	13	28	2.19	abstract	image_neg
134.68986589999986	0.6868041000125231	image_neg	0.6550722000101814	belch	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.14	abstract	image_neg
147.29928120000113	0.6779370000003837	image_pos	0.7298313000064809	jungle	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.66	abstract	image_pos
157.2999462000007	0.6779290999984369	image_neg	0.7459267000085674	cabbage	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.75	concrete	image_neg
164.69096440001158	0.6874062999995658	image_neg	0.789233499992406	tax	female	20	80	EPIsequencewords	3	2022	4	19	13	28	3.89	abstract	image_neg
177.30060940000112	0.6780685999983689	image_neg	0.6462370000081137	harp	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.85	concrete	image_neg
184.698848	0.6801936000119895	image_pos	0.7154289000027347	plane	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.92	concrete	image_pos
194.69332730000315	0.6862479999981588	image_pos	0.5710414000059245	bird	female	20	80	EPIsequencewords	3	2022	4	19	13	28	5	concrete	image_pos
204.69323640000948	0.6867212999932235	image_pos	0.7211708999966504	island	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.96	concrete	image_pos
217.3038072000054	0.6770103000017116	image_neg	0.5284027000016067	delirium	female	20	80	EPIsequencewords	3	2022	4	19	13	28	1.97	abstract	image_neg
227.30348900001263	0.6776338999916334	image_neg	0.4121765999880153	gum	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.89	concrete	image_neg
234.69374680001056	0.6876277999981539	image_neg	0.7223320999910356	reporter	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.63	abstract	image_neg
244.7039553000068	0.6778170000033867	image_pos	0.6962243000016315	saxophone	female	20	80	EPIsequencewords	3	2022	4	19	13	28	5	concrete	image_pos
254.6957165000058	0.6868232999986503	image_pos	0.5383372000069357	rose	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.9	concrete	image_pos
267.3027519000025	0.6800565000012284	image_neg	0.4813609999982873	foot	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.9	concrete	image_neg
274.70462660001067	0.6786253999889595	image_pos	0.51361850000103	couple	female	20	80	EPIsequencewords	3	2022	4	19	13	28	3.93	abstract	image_pos
284.7215455000114	0.6788501999981236	image_pos	0.580237499991199	reality	female	20	80	EPIsequencewords	3	2022	4	19	13	28	1.72	abstract	image_pos
297.3203422000079	0.6805517000029795	image_neg	0.6323451999924146	dusty	female	20	80	EPIsequencewords	3	2022	4	19	13	28	3.79	abstract	image_neg
307.3223750000034	0.6789645999961067	image_neg	0.6305505000054836	tobacco	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.88	concrete	image_neg
317.32395720000204	0.6780958000017563	image_pos	0.6128292000066722	fountain	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.77	concrete	image_pos
327.3238730000012	0.6784095000039088	image_neg	0.4131419000041205	cyclone	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.48	abstract	image_neg
334.7254033000063	0.6773514999949839	image_neg	0.762173499999335	spiritual	female	20	80	EPIsequencewords	3	2022	4	19	13	28	1.79	abstract	image_neg
347.32473360000586	0.6785532999929274	image_neg	0.7136558000056539	snub	female	20	80	EPIsequencewords	3	2022	4	19	13	28	2.41	abstract	image_neg
354.7155657000112	0.6880598999996437	image_neg	0.6067032999999356	faucet	female	20	80	EPIsequencewords	3	2022	4	19	13	28	4.48	abstract	image_neg
